"","Programming Language","2022","2017","2012","2007","2002","1997","1992","1987"
"1","Python","1","5","8","7","12","28","-","-"
"2","C","2","2","1","2","2","1","1","1"
"3","Java","3","1","2","1","1","16","-","-"
"4","C++","4","3","3","3","3","2","2","6"
"5","C#","5","4","4","8","14","-","-","-"
"6","Visual Basic","6","14","-","-","-","-","-","-"
"7","JavaScript","7","8","10","9","8","24","-","-"
"8","Assembly language","8","10","-","-","-","-","-","-"
"9","SQL","9","-","-","-","7","-","-","-"
"10","PHP","10","7","6","5","6","-","-","-"
"11","Prolog","24","32","33","27","17","21","12","3"
"12","Lisp","33","31","13","16","13","10","4","2"
"13","Pascal","270","114","16","22","99","9","3","5"
"14","(Visual) Basic","-","-","7","4","4","3","6","4"
