"","Sep 2022","Sep 2021","Programming Language","Programming Language","Ratings"
"1",1,2,NA,"Python","15.74%"
"2",2,1,NA,"C","13.96%"
"3",3,3,NA,"Java","11.72%"
"4",4,4,NA,"C++","9.76%"
"5",5,5,NA,"C#","4.88%"
"6",6,6,NA,"Visual Basic","4.39%"
"7",7,7,NA,"JavaScript","2.82%"
"8",8,8,NA,"Assembly language","2.49%"
"9",9,10,NA,"SQL","2.01%"
"10",10,9,NA,"PHP","1.68%"
"11",11,24,NA,"Objective-C","1.49%"
"12",12,14,NA,"Go","1.16%"
"13",13,20,NA,"Delphi/Object Pascal","1.09%"
"14",14,16,NA,"MATLAB","1.06%"
"15",15,17,NA,"Fortran","1.03%"
"16",16,15,NA,"Swift","0.98%"
"17",17,11,NA,"Classic Visual Basic","0.98%"
"18",18,18,NA,"R","0.95%"
"19",19,19,NA,"Perl","0.72%"
"20",20,13,NA,"Ruby","0.66%"
